name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
BD-06 1339 b,66.0,9.7,Neptune-like,2013,8.5,Earth,0.254,Jupiter,0.0428,0.010677618,0.0,Radial Velocity
CD Ceti b,28.0,13.95,Super Earth,2020,3.95,Earth,1.82,Earth,0.0185,0.0062970566,0.0,Radial Velocity
CoRoT-11 b,2137.0,12.897,Gas Giant,2010,2.33,Jupiter,1.43,Jupiter,0.0436,0.008213553,0.0,Transit
CoRoT-13 b,3748.0,15.005,Gas Giant,2010,1.308,Jupiter,0.885,Jupiter,0.051,0.0109514035,0.0,Transit
CoRoT-14 b,5691.0,15.932,Gas Giant,2010,7.6,Jupiter,1.09,Jupiter,0.027,0.0041067763,0.0,Transit
CoRoT-17 b,3837.0,16.29,Gas Giant,2011,2.43,Jupiter,1.02,Jupiter,0.0461,0.010403832,0.0,Transit
CoRoT-1 b,2570.0,13.623,Gas Giant,2008,1.03,Jupiter,1.49,Jupiter,0.02752,0.0041067763,0.0,Transit
CoRoT-21 b,4563.0,16.058,Gas Giant,2012,2.26,Jupiter,1.3,Jupiter,0.0417,0.0073921974,0.0,Transit
CoRoT-24 b,1930.0,15.383,Neptune-like,2014,5.7,Earth,0.33,Jupiter,0.056,0.013963039,0.0,Transit
CoRoT-25 b,3600.0,14.79,Gas Giant,2013,0.27,Jupiter,1.08,Jupiter,0.0578,0.013415469,0.0,Transit
CoRoT-26 b,3409.0,15.861,Gas Giant,2013,0.52,Jupiter,1.26,Jupiter,0.0526,0.011498973,0.0,Transit
CoRoT-35 b,3664.0,15.635,Gas Giant,2022,1.1,Jupiter,1.68,Jupiter,0.0429,0.008761123,0.0,Transit
CoRoT-36 b,3020.0,13.126,Gas Giant,2022,0.68,Jupiter,1.41,Jupiter,0.066,0.015331964,0.0,Transit
CoRoT-4 b,2370.0,13.652,Gas Giant,2008,0.72,Jupiter,1.19,Jupiter,0.09,0.025188226,0.0,Transit
CoRoT-7 b,522.0,11.728,Super Earth,2009,4.07661,Earth,1.681,Earth,0.017016,0.0024640656,0.0,Transit
CoRoT-7 c,522.0,11.728,Neptune-like,2009,8.4,Earth,0.253,Jupiter,0.046,0.010130048,0.0,Radial Velocity
CoRoT-8 b,1050.0,14.792,Gas Giant,2010,0.22,Jupiter,0.57,Jupiter,0.063,0.016974675,0.0,Transit
CoRoTID 223977153 b,1881.0,13.626,Gas Giant,2017,0.15,Jupiter,0.57,Jupiter,0.071,0.0183436,0.0,Transit
EPIC 201170410.02,437.0,17.6984,Super Earth,2020,1.15,Earth,1.047,Earth,0.0349,0.018617386,0.0,Transit
EPIC 201757695.02,1884.0,14.974,Terrestrial,2020,0.688,Earth,0.908,Earth,0.0296,0.0054757018,0.0,Transit
EPIC 201841433 b,1424.0,14.983,Super Earth,2019,1.12,Earth,1.04,Earth,0.035,0.011498973,0.0,Transit
EPIC 220674823 b,798.0,12.101,Super Earth,2016,7.72,Earth,1.6,Earth,0.01312,0.0016427105,0.0,Transit
EPIC 246851721 b,1216.0,11.237,Gas Giant,2018,3.0,Jupiter,1.051,Jupiter,0.07229,0.016974675,0.0,Transit
G 264-012 b,52.0,13.078,Super Earth,2021,2.5,Earth,1.39,Earth,0.02279,0.0062970566,0.0,Radial Velocity
G 264-012 c,52.0,13.078,Super Earth,2021,3.75,Earth,1.76,Earth,0.0525,0.022176592,0.0,Radial Velocity
G 9-40 b,91.0,13.821,Super Earth,2019,4.76,Earth,2.025,Earth,0.0385,0.015605749,0.0,Transit
Gaia-1 b,1186.0,13.242,Gas Giant,2022,1.68,Jupiter,1.229,Jupiter,0.04047,0.008487337,0.0,Transit
Gaia-2 b,683.0,11.277,Gas Giant,2022,0.817,Jupiter,1.322,Jupiter,0.0467,0.010130048,0.0,Transit
GJ 1002 b,16.0,13.76,Super Earth,2022,1.08,Earth,1.03,Earth,0.0457,0.028199865,0.0,Radial Velocity
GJ 1002 c,16.0,13.76,Super Earth,2022,1.36,Earth,1.1,Earth,0.0738,0.05804244,0.0,Radial Velocity
GJ 1252 b,66.0,12.68,Super Earth,2020,1.32,Earth,1.18,Earth,0.00915,0.0013689254,0.0,Transit
